id,sentence,draft_label,group_label,notes
1,We achieved a 30% reduction in scope-1 emissions compared with our 2019 baseline.,E,E,
2,The new solar installation now supplies 45% of our manufacturing site's electricity demand.,E,E,
3,Our water-recycling programme reduced freshwater withdrawal by 1.2 million cubic metres last year.,E,E,
4,We have committed to net-zero greenhouse-gas emissions across all operations by 2040.,E,E,
5,Single-use plastic packaging was eliminated from our distribution network during the reporting period.,E,E,
6,"The company planted 250,000 native trees as part of its biodiversity offset programme.",E,E,
7,Energy intensity per unit of production fell by 18% following the deployment of variable-speed drives.,E,E,
8,"We disclose scope-3 emissions across upstream transportation, business travel, and the use phase of sold products.",E,E,
9,The renewable-energy power purchase agreement signed in March covers 70% of our European electricity load.,E,E,
10,Our environmental management system is certified to ISO 14001 across all manufacturing sites.,E,E,
11,Hazardous waste sent to landfill decreased by 42% year on year.,E,E,
12,We participate in the Carbon Disclosure Project's climate-change questionnaire.,E,E,
13,The expansion of the wetland conservation area has provided habitat for 14 bird species classified as vulnerable.,E,E,
14,Methane leakage from our pipeline network is now monitored continuously by satellite.,E,E,
15,Air emissions of nitrogen oxides have been reduced by 25% since 2018 through combustion optimisation.,E,E,
16,We have set science-based targets aligned with limiting global temperature rise to 1.5 degrees Celsius.,E,E,
17,The new packaging line uses 100% recycled aluminium for all primary containers.,E,E,
18,Water-stress assessments have been completed at all sites located in regions of high baseline water stress.,E,E,
19,Our refrigerant transition programme replaced R-22 systems with low-GWP alternatives across the portfolio.,E,E,
20,"The factory's anaerobic digester converts organic waste into biogas, displacing 40% of our natural-gas demand.",E,E,
21,"Women now hold 38% of senior management positions, up from 27% three years ago.",S,S,
22,Our employee assistance programme provides free counselling and mental-health support to all staff.,S,S,
23,The supplier code of conduct prohibits child labour and forced labour throughout our supply chain.,S,S,
24,"Recordable workplace injury rates fell to 0.47 per 200,000 hours worked, the lowest in the industry.",S,S,
25,We invested 4.2 million pounds in community education and skills programmes during the reporting period.,S,S,
26,The company's living-wage commitment now covers all directly employed and contract staff.,S,S,
27,Employee turnover decreased to 8.3% following the launch of our flexible-working pilot.,S,S,
28,We conduct human-rights due diligence assessments at all tier-one supplier facilities.,S,S,
29,The diversity and inclusion training reached 96% of the workforce last year.,S,S,
30,Our customer privacy and data-protection programme is independently audited annually.,S,S,
31,Disability inclusion initiatives include accessible workplace adjustments and an internal mentoring network.,S,S,
32,We support 14 community partnership projects across the regions in which we operate.,S,S,
33,"Apprenticeship intake doubled this year, with 60% of places filled by candidates from underrepresented backgrounds.",S,S,
34,Indigenous community consultation is conducted before any new mining-exploration activity.,S,S,
35,We provide twelve weeks of fully paid parental leave to all parents regardless of gender.,S,S,
36,Health-and-safety training is mandatory for all employees at induction and renewed every two years.,S,S,
37,"The whistleblowing hotline received 47 reports, of which 38 were investigated and closed.",S,S,
38,Suppliers in regions with elevated modern-slavery risk are subject to enhanced screening and on-site audits.,S,S,
39,Our customer satisfaction score for accessibility-related interactions improved by 11 points.,S,S,
40,We have signed the United Nations Women's Empowerment Principles.,S,S,
41,Six of our nine board members are independent non-executive directors.,G,G,
42,Executive compensation is linked to long-term sustainability performance through a five-year LTIP scheme.,G,G,
43,The audit committee meets quarterly and is chaired by an independent director with financial expertise.,G,G,
44,Our board diversity policy targets at least 40% representation of each gender by 2026.,G,G,
45,We publish a detailed remuneration report with year-on-year comparisons of CEO-to-median-employee pay ratio.,G,G,
46,"The anti-bribery and anti-corruption programme includes annual training, gift-and-hospitality registers, and third-party due diligence.",G,G,
47,Cybersecurity oversight is delegated to a dedicated technology committee that meets six times per year.,G,G,
48,We adopted the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD) in 2022.,G,G,
49,The internal audit function reports directly to the audit committee and has unrestricted access to all records.,G,G,
50,Our code of business conduct was updated to address conflicts of interest in joint-venture relationships.,G,G,
51,The board has established a dedicated risk committee responsible for enterprise-wide risk oversight.,G,G,
52,Shareholders approved the say-on-pay resolution with 94% support at the most recent annual general meeting.,G,G,
53,We maintain a board skills matrix that is reviewed annually to identify capability gaps.,G,G,
54,The company's tax strategy is published and approved by the audit committee.,G,G,
55,Senior executives are required to hold company shares equal to at least three times their annual salary.,G,G,
56,The lobbying-and-political-contributions policy prohibits direct corporate contributions to any political party.,G,G,
57,Director independence is reassessed annually against the criteria set out in the UK Corporate Governance Code.,G,G,
58,Our governance structure separates the roles of Chair and Chief Executive.,G,G,
59,We disclose all material related-party transactions in the notes to the financial statements.,G,G,
60,The nominations committee uses an independent search consultant for all non-executive director appointments.,G,G,
61,"Our annual sustainability report covers scope-1 and scope-2 emissions, board independence, and labour practices in our extended supply chain.",Mix,Mix,
62,"The new ESG-linked credit facility ties pricing to targets on emissions reduction, supplier diversity, and board oversight of climate risk.",Mix,Mix,
63,We strengthened both our environmental management system and our human-rights due-diligence framework following the board's risk review.,Mix,Mix,
64,"The compensation committee approved a new long-term incentive plan that includes safety performance, diversity metrics, and emissions-intensity targets.",Mix,Mix,
65,"Stakeholder engagement this year focused on community water access, biodiversity in the operating footprint, and transparency of executive pay.",Mix,Mix,
66,"The integrated report combines financial performance, climate risk disclosure, and information on workforce health and safety.",Mix,Mix,
67,"The board adopted a refreshed materiality matrix covering decarbonisation, employee wellbeing, and anti-corruption controls.",Mix,Mix,
68,"Our supplier code now addresses environmental compliance, labour rights, and ethical conduct in equal weight.",Mix,Mix,
69,The audit committee oversaw both the climate-related disclosures and the whistleblowing-system review during the year.,Mix,Mix,
70,"We strengthened policies on emissions reporting, diversity targets, and director-independence disclosures across the group.",Mix,Mix,
71,"Quarterly revenue grew 12% year on year, driven by strong e-commerce and subscription performance.",Off,Off,
72,The new product line launched in October exceeded internal sales projections by 22%.,Off,Off,
73,The football club secured promotion to the top division after winning the playoff final on penalties.,Off,Off,
74,Heavy rainfall caused widespread disruption across the rail network on Tuesday morning.,Off,Off,
75,The chef's tasting menu features locally sourced game and seasonal root vegetables.,Off,Off,
76,Our latest mobile handset features a redesigned camera system and longer battery life.,Off,Off,
77,Tourists flocked to the coastal resort during the bank holiday weekend in record numbers.,Off,Off,
78,The chess grandmaster won her fifth consecutive title at the international tournament in Madrid.,Off,Off,
79,The film adaptation of the bestselling novel topped the box office in its opening weekend.,Off,Off,
80,The orchestra performed an evening of Romantic-era symphonic works at the concert hall.,Off,Off,
